,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
920,921,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2125,2301,2200,2019-10-17
2903,2904,Pune,Pune,Wheat,Sharbati,FAQ,3600,4500,4100,2019-10-18
2608,2609,Pune,Pune,Wheat,Sharbati,FAQ,3500,4400,3950,2019-10-19
508,509,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1850,2150,2050,2019-10-20
2372,2373,Pune,Pune,Wheat,Sharbati,FAQ,3700,4500,4100,2019-10-22
2142,2143,Pune,Pune,Wheat,Sharbati,FAQ,3600,4400,4000,2019-10-23
1321,1322,Pune,Pune,Wheat,Sharbati,FAQ,3500,4500,4000,2019-10-24
1485,1486,Pune,Pune,Wheat,Sharbati,FAQ,2500,3200,2900,2019-10-25
2610,2611,Pune,Pune,Wheat,Sharbati,FAQ,3500,4500,4000,2019-10-26
1803,1804,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2300,2100,2019-10-27
2672,2673,Pune,Pune,Wheat,Sharbati,FAQ,3500,4500,4000,2019-10-28
756,757,Pune,Shirur,Wheat,Other,FAQ,1800,1900,1900,2019-10-29
1002,1003,Pune,Baramati,Wheat,Kalyan,FAQ,2000,2100,2075,2019-10-31
2128,2129,Pune,Pune,Wheat,Sharbati,FAQ,3500,4200,3900,2019-11-01
2888,2889,Pune,Pune,Wheat,Sharbati,FAQ,3500,4100,3800,2019-11-02
3229,3230,Pune,Indapur(Bhigwan),Wheat,Maharashtra 2189,FAQ,2000,2251,2100,2019-11-03
1695,1696,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2151,2412,2300,2019-11-04
2398,2399,Pune,Pune,Wheat,Sharbati,FAQ,3500,4200,3850,2019-11-05
2406,2407,Pune,Pune,Wheat,Sharbati,FAQ,3600,4100,3850,2019-11-06
2900,2901,Pune,Pune,Wheat,Sharbati,FAQ,3600,4100,3850,2019-11-07
333,334,Pune,Pune,Wheat,Sharbati,FAQ,3600,4100,3850,2019-11-08
2360,2361,Pune,Pune,Wheat,Sharbati,FAQ,3600,4100,3850,2019-11-09
1451,1452,Pune,Indapur(Bhigwan),Wheat,Maharashtra 2189,FAQ,1800,2500,2100,2019-11-10
346,347,Pune,Pune,Wheat,Sharbati,FAQ,3800,4300,4050,2019-11-11
3199,3200,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2200,2100,2019-11-14
1338,1339,Pune,Pune,Wheat,Sharbati,FAQ,3800,4500,4200,2019-11-15
2631,2632,Pune,Pune,Wheat,Sharbati,FAQ,3800,4300,4050,2019-11-16
2460,2461,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2201,2100,2019-11-17
835,836,Pune,Baramati,Wheat,Kalyan,FAQ,2000,2200,2100,2019-11-18
2632,2633,Pune,Pune,Wheat,Sharbati,FAQ,3800,4300,4050,2019-11-19
2166,2167,Pune,Pune,Wheat,Sharbati,FAQ,3900,4400,4150,2019-11-20
464,465,Pune,Baramati,Wheat,Kalyan,FAQ,2000,2200,2100,2019-11-21
2425,2426,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4050,2019-11-22
1922,1923,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4050,2019-11-25
547,548,Pune,Pune,Wheat,Sharbati,FAQ,3700,4100,3900,2019-11-26
1923,1924,Pune,Pune,Wheat,Sharbati,FAQ,3800,4300,4050,2019-11-27
2054,2055,Pune,Shirur,Wheat,Other,FAQ,1850,2200,2200,2019-11-28
2634,2635,Pune,Pune,Wheat,Sharbati,FAQ,3800,4400,4100,2019-11-29
